run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
3,1,100000,300000,4,2,2,uniform,1,0.308974,181796864,4123832,466872,152550216,152550216,0,204177,95823,65013,250,16,346,0,0,0,10335,True
3,2,100000,300000,4,2,4,uniform,1,0.227028,115032064,4698416,1041456,90200000,90200000,0,245000,55000,45078,256,16,1975,0,0,0,54485,True
3,3,100000,300000,4,2,0,uniform,1,0.459064,511901696,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,4,100000,300000,4,2,8,uniform,1,0.171917,71598080,5882360,2225400,48245176,48245176,0,272209,27791,25706,256,16,4457,0,0,0,149141,True
3,1,100000,300000,4,1,0,uniform,1,0.427207,511885312,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,2,100000,300000,4,1,2,uniform,1,0.302759,181731328,4123832,466872,152550216,152550216,0,204177,95823,64908,252,16,0,0,0,0,0,True
3,3,100000,300000,4,1,8,uniform,1,0.132369,71548928,5882360,2225400,48245176,48245176,0,272209,27791,25719,256,16,0,0,0,0,0,True
3,4,100000,300000,4,1,4,uniform,1,0.205744,114982912,4698416,1041456,90200000,90200000,0,245000,55000,45002,256,16,0,0,0,0,0,True
3,1,100000,300000,4,1,0,uniform,1,0.110111,252133376,3656960,0,225360384,225360384,0,0,300000,2906,256,16,0,1,2906,0,0,True
3,2,100000,300000,4,1,2,uniform,1,0.067628,108003328,4123832,466872,86029896,86029896,0,204177,95823,1966,256,16,0,1,1944,0,0,True
3,3,100000,300000,4,1,8,uniform,1,0.0482025,53723136,5882360,2225400,32099512,32099512,0,272209,27791,1448,256,16,0,1,1307,0,0,True
3,4,100000,300000,4,1,4,uniform,1,0.0565741,75759616,4698416,1041456,54852544,54852544,0,245000,55000,1666,256,16,0,1,1622,0,0,True
