run,records,updates,clients,wait_each,native_pipeline,blocked_probes,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
3,100000,100000,4,0,True,0,2,0,uniform,1,0.0649352,194084864,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,88152,4,4,uniform,1,0.0763187,175734784,3665176,8216,136385344,136385344,0,11845,88155,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,80295,4,8,uniform,1,0.0680516,163889152,3660360,3400,125313456,125313456,0,19704,80296,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,99615,4,2,uniform,1,0.0732568,193626112,3657016,56,153031120,153031120,0,384,99616,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,0,4,0,uniform,1,0.0700882,194183168,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,4,uniform,0,0.00345313,20545536,477576,112008,163312,163312,0,2882,118,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,8,uniform,0,0.00273504,20611072,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,2,uniform,0,0.00422725,20676608,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,0,uniform,0,0.00507333,20676608,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,4,uniform,1,0.00327588,20643840,477576,112008,163312,163312,0,2882,118,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,8,uniform,1,0.00319317,20627456,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,2,uniform,1,0.00363667,21266432,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,10000,3000,1,1,True,0,1,0,uniform,1,0.00507046,24592384,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
