dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds,num_pipes
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,3,2,1.963478167,2,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,11375014,11375014,0,3003003696,3003003696,0,142856,17856,125000,83301,124994,41235992,4664856,220282880,220315648,0.049443125,1.869548625,0.000011625,1.919003375,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,4,0,2.647319541,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,259522560,259555328,0.049461416,2.543075500,0.000698417,2.593235333,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,1,8,0.204621917,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113131520,113164288,0.049377791,0.137029917,0.000000125,0.186407833,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,2,0,0.201550542,0,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,699079,699079,0,178964224,178964224,0,142856,17856,125000,0,0,36571136,0,100106240,100139008,0.052397834,0.132730500,0.000000958,0.185129292,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,3,4,0.199665083,4,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105398272,105431040,0.049088083,0.134373208,0.000000125,0.183461416,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,2,4,2,0.194186583,2,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103170048,103202816,0.049133292,0.129049250,0.000000208,0.178182750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,2,1,4,0.661650750,4,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,375104288,9390368,654753792,654753792,0.575927917,0.042034458,0.000000125,0.617962500,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,2,2,8,0.660485708,8,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,383772320,18058400,657833984,657833984,0.572740292,0.041203875,0.000000041,0.613944208,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,2,3,2,0.654911959,2,1,1,10000000,100000,0,0,100000,0,6238072747940578789,784,784,0,206192,206192,0,1428570,178570,1250000,90195,99706,370764840,5050920,650706944,650706944,0.573673792,0.038790375,0.000036917,0.612501084,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,2,4,0,0.722113750,0,1,1,10000000,100000,0,0,100000,0,6238072747940578789,800000,800000,0,204800000,204800000,0,1428570,178570,1250000,0,0,365713920,0,708853760,708853760,0.571185833,0.080796917,0.000526166,0.652508916,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,3,1,2,0.429315083,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,2042817,2042817,0,539303688,539303688,0,142856,17856,125000,83106,124507,41225072,4653936,124944384,124977152,0.049210917,0.355061667,0.000280417,0.404553001,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,3,2,4,0.338371959,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1050070,1050070,0,284418960,284418960,0,142856,17856,125000,100150,249950,46986736,10415600,123797504,123830272,0.049342250,0.265947958,0.000174834,0.315465042,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,3,3,0,0.589670000,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,162250752,162283520,0.049211042,0.506633000,0.000537333,0.556381375,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,3,4,8,0.281055959,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,356755,356755,0,101522280,101522280,0,142856,17856,125000,109350,541315,58441136,21870000,133857280,133857280,0.049585792,0.207731750,0.000086166,0.257403708,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,3,1,4,0.265913208,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1131088,1131088,0,306363264,306363264,0,142856,17856,125000,89333,192080,45861768,9290632,122011648,122011648,0.049962416,0.194253584,0.000087750,0.244303750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,3,2,8,0.218701000,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,548450,548450,0,156073200,156073200,0,142856,17856,125000,96517,294850,55874536,19303400,128647168,128647168,0.049297833,0.150297333,0.000066334,0.199661500,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,3,3,2,0.321641500,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,2081982,2081982,0,549643248,549643248,0,142856,17856,125000,75200,107722,40782336,4211200,124338176,124354560,0.049597583,0.248904500,0.000239333,0.298741416,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,3,4,0,0.515143625,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,162381824,162414592,0.049328750,0.432625292,0.000491667,0.482445709,3
