run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
2,100000,300000,4,4,2,hot,0,0.113168,18432000,4133128,476168,79603856,79603856,0,204194,95806,31362,21,16,179,1,30998,1150,4114,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,hot,0,0.111063,18219008,4133128,476168,79705488,79705488,0,204194,95806,31393,21,64,0,1,31049,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,hot,0,0.112787,18251776,4133128,476168,79636624,79636624,0,204194,95806,31343,21,128,0,1,31013,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,hot,0,0.115559,18219008,4133128,476168,79581072,79581072,0,204194,95806,31300,20,256,0,1,30948,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,hot,0,0.116607,18251776,4133128,476168,79522448,79522448,0,204194,95806,31274,19,1048576,0,1,30924,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,1,2,zipfian,0,0.0915485,21577728,4123832,466872,109745072,109745072,0,204166,95834,12170,100,16,0,1,12035,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.190725,21757952,4123832,466872,109732272,109732272,0,204166,95834,12151,93,16,8213,1,12002,81776,257370,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.0903995,21708800,4123832,466872,109723568,109723568,0,204166,95834,12184,84,64,77,1,12049,1787,5740,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.0941195,21561344,4123832,466872,109756080,109756080,0,204166,95834,12191,90,128,0,1,12050,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.092112,21626880,4123832,466872,109748400,109748400,0,204166,95834,12201,92,256,0,1,12057,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.0932962,21544960,4123832,466872,109813424,109813424,0,204166,95834,12220,91,1048576,0,1,12071,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.239807,21856256,4123832,466872,109696176,109696176,0,204166,95834,12174,93,16,8205,1,12025,81785,257295,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.0958661,21839872,4123832,466872,109823408,109823408,0,204166,95834,12227,108,64,62,1,12073,1382,4700,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.092186,21610496,4123832,466872,109857200,109857200,0,204166,95834,12322,89,128,0,1,12183,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.0897036,21594112,4123832,466872,109704112,109704112,0,204166,95834,12166,88,256,0,1,12036,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.091585,21610496,4123832,466872,109797808,109797808,0,204166,95834,12254,94,1048576,0,1,12102,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,uniform,0,0.0676559,18497536,4123832,466872,86019912,86019912,0,204177,95823,1950,256,1048576,0,1,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,uniform,0,0.065421,19070976,4123832,466872,85906504,85906504,0,204177,95823,1917,256,256,88,1,1900,7038,22528,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,uniform,0,0.0873934,18857984,4123832,466872,86062152,86062152,0,204177,95823,1969,256,128,1134,1,1952,77835,245074,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,uniform,0,0.0969413,19120128,4123832,466872,85663560,85663560,0,204177,95823,1904,256,64,1543,1,1886,92001,288032,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,uniform,0,0.10279,18989056,4123832,466872,85987656,85987656,0,204177,95823,1955,256,16,1874,1,1938,95630,299309,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0640663,18432000,4123832,466872,85994056,85994056,0,204177,95823,1939,256,1048576,0,1,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0679112,18694144,4123832,466872,85766984,85766984,0,204177,95823,1902,256,256,88,1,1887,7269,22528,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0829489,18890752,4123832,466872,86075976,86075976,0,204177,95823,1960,256,128,1136,1,1945,77569,244587,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0890912,18776064,4123832,466872,86024776,86024776,0,204177,95823,1949,256,64,1572,1,1928,91625,287113,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0932073,18726912,4123832,466872,85942088,85942088,0,204177,95823,1943,256,16,1857,1,1919,95616,299321,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,uniform,0,0.0676109,18448384,4123832,466872,86092360,86092360,0,204177,95823,1988,256,16,0,1,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,hot,0,0.108206,18268160,4133128,476168,79501200,79501200,0,204194,95806,31256,20,1048576,0,1,30886,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,hot,0,0.106751,18219008,4133128,476168,79747216,79747216,0,204194,95806,31436,20,256,0,1,31056,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,hot,0,0.106247,18235392,4133128,476168,79601040,79601040,0,204194,95806,31294,22,128,0,1,30959,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,hot,0,0.104335,18235392,4133128,476168,79686288,79686288,0,204194,95806,31425,21,64,0,1,31050,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,hot,0,0.108606,18464768,4133128,476168,79520400,79520400,0,204194,95806,31305,22,16,184,1,30931,1168,4238,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.105577,18169856,4133128,476168,79538832,79538832,0,204194,95806,31274,22,1048576,0,1,30932,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.103156,18186240,4133128,476168,79717776,79717776,0,204194,95806,31408,23,256,0,1,31047,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.105212,18202624,4133128,476168,79765136,79765136,0,204194,95806,31433,21,128,0,1,31093,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.107742,18202624,4133128,476168,79875472,79875472,0,204194,95806,31527,23,64,0,1,31178,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.11887,18350080,4133128,476168,79636624,79636624,0,204194,95806,31346,23,16,177,1,30968,1176,4058,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,hot,0,0.115309,18202624,4133128,476168,79608720,79608720,0,204194,95806,31364,20,16,0,1,31008,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.1094,21594112,4123832,466872,109734576,109734576,0,204166,95834,12160,84,1048576,0,1,12034,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.10353,21626880,4123832,466872,109846704,109846704,0,204166,95834,12257,87,256,0,1,12104,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.0991448,21643264,4123832,466872,109756592,109756592,0,204166,95834,12219,86,128,0,1,12070,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.104595,21856256,4123832,466872,109815728,109815728,0,204166,95834,12231,91,64,53,1,12099,1245,3984,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.252053,21905408,4123832,466872,109865392,109865392,0,204166,95834,12302,125,16,8152,1,12153,81273,255727,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.0917043,21594112,4123832,466872,109715120,109715120,0,204166,95834,12179,95,1048576,0,1,12037,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.0904512,21594112,4123832,466872,109771184,109771184,0,204166,95834,12213,95,256,0,1,12091,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.106494,21577728,4123832,466872,109692336,109692336,0,204166,95834,12148,87,128,0,1,11983,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.0993138,21741568,4123832,466872,109822128,109822128,0,204166,95834,12239,87,64,71,1,12108,1648,5347,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.205308,21708800,4123832,466872,109750448,109750448,0,204166,95834,12183,84,16,8197,1,12041,81647,256856,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,zipfian,0,0.0908443,21561344,4123832,466872,109713584,109713584,0,204166,95834,12200,82,16,0,1,12044,0,0,0,0,0,0,0,0,0,0,0,0,0,True
