run,version,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,worker_fat,worker_appends,worker_materializations,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,before,100000,300000,4,0,True,1,4432,1,202659,97341,4,2,2,uniform,0,0.191233,35553280,4122320,465360,154882928,154882928,584046,0,202659,97341,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4481,1,202630,97370,4,2,2,uniform,0,0.195873,35454976,4124056,467096,154925792,154925792,584220,0,202630,97370,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1394,1,271525,28475,4,1,8,uniform,0,0.212764,37486592,5878160,2221200,49398800,49398800,170850,0,271525,28475,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1360,1,271570,28430,4,1,8,uniform,0,0.212766,37486592,5875760,2218800,49322080,49322080,170580,0,271570,28430,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,231129,1,66021,233979,4,1,4,hot,0,0.29325,35651584,4730760,1073800,361232648,361232648,1403874,0,66021,233979,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,230179,1,66915,233085,4,1,4,hot,0,0.289916,35667968,4733464,1076504,359904704,359904704,1398510,0,66915,233085,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1385,0,0,0,2,2,8,uniform,0,0.130245,37421056,5877560,2220600,49374760,49374760,170760,0,271540,28460,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1391,0,0,0,2,2,8,uniform,0,0.128001,37257216,5874560,2217600,49342176,49342176,170646,0,271559,28441,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,2,1,0,uniform,0,0.234869,36225024,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,2,1,0,uniform,0,0.238776,36028416,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,4,2,0,uniform,0,0.235402,41140224,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,4,2,0,uniform,0,0.238664,35569664,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,215129,0,0,0,4,2,4,hot,0,0.234478,35979264,4733256,1076296,338556920,338556920,1312662,0,81223,218777,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,224914,0,0,0,4,2,4,hot,0,0.253687,35831808,4733672,1076712,352494696,352494696,1368690,0,71885,228115,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,199958,0,0,0,2,2,2,hot,0,0.240768,35045376,4120864,463904,332072840,332072840,1286784,0,85536,214464,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,200556,0,0,0,2,2,2,hot,0,0.236053,35241984,4121032,464072,332762088,332762088,1289514,0,85081,214919,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2662,0,0,0,2,2,4,uniform,0,0.126435,35897344,4688432,1031472,92062824,92062824,337026,0,243829,56171,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2569,0,0,0,2,2,4,uniform,0,0.136774,36159488,4689992,1033032,91938568,91938568,336552,0,243908,56092,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,242049,1,49422,250578,4,2,2,hot,0,0.277852,35094528,4118960,462000,386217864,386217864,1503468,0,49422,250578,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,240249,1,51006,248994,4,2,2,hot,0,0.260111,35569664,4118008,461048,383848232,383848232,1493964,0,51006,248994,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,173859,0,0,0,2,1,2,hot,0,0.233223,35078144,4122152,465192,299855192,299855192,1158024,0,106996,193004,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,181871,0,0,0,2,1,2,hot,0,0.246316,35110912,4122432,465472,309533056,309533056,1196664,0,100556,199444,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1189,1,271622,28378,2,2,8,uniform,0,0.160695,37404672,5874160,2217200,49238208,49238208,170268,0,271622,28378,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1281,1,271577,28423,2,2,8,uniform,0,0.167581,37388288,5876760,2219800,49314128,49314128,170538,0,271577,28423,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1240,1,271624,28376,4,2,8,uniform,0,0.157945,37683200,5875560,2218600,49230936,49230936,170256,0,271624,28376,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1328,1,271568,28432,4,2,8,uniform,0,0.171133,37502976,5876360,2219400,49329152,49329152,170592,0,271568,28432,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,113144,1,173407,126593,2,1,4,hot,0,0.253482,35536896,4748440,1091480,200467096,200467096,759558,0,173407,126593,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
